WordIndex,OriginalCode,RollupCode
496,353.4,PheCode:353.2
497,802.31,PheCode:819
498,912.2,PheCode:911
499,302.70,PheCode:302
500,873.73,PheCode:873
501,255.12,PheCode:255
501,255.12,PheCode:255.1
501,255.12,PheCode:255.12
502,016.96,PheCode:010
503,718.33,PheCode:742
503,718.33,PheCode:742.2
504,994.0,PheCode:1015
505,508.0,PheCode:500
506,789.61,PheCode:785
507,999.72,PheCode:942
509,345.70,PheCode:345
509,345.70,PheCode:345.1
510,697.9,PheCode:695
510,697.9,PheCode:695.7
511,967.1,PheCode:967
512,717.49,PheCode:835
513,716.54,PheCode:716
513,716.54,PheCode:716.1
514,136.3,PheCode:480
514,136.3,PheCode:480.3
515,357.5,PheCode:317
515,357.5,PheCode:317.1
516,948.93,PheCode:1000
517,E931.0,PheCode:961.1
519,707.03,PheCode:707
519,707.03,PheCode:707.1
520,646.71,PheCode:646
521,082.2,PheCode:136
522,381.50,PheCode:381
522,381.50,PheCode:381.2
523,207.81,PheCode:204
524,623.4,PheCode:617
525,952.14,PheCode:952
526,851.99,PheCode:816
527,162.8,PheCode:165
527,162.8,PheCode:165.1
529,733.1,PheCode:743
529,733.1,PheCode:743.2
530,959.9,PheCode:1009
531,969.8,PheCode:969
532,620.7,PheCode:617
533,652.90,PheCode:652
534,626.2,PheCode:626
534,626.2,PheCode:626.1
534,626.2,PheCode:626.12
535,053.13,PheCode:053
535,053.13,PheCode:053.1
536,755.29,PheCode:755
536,755.29,PheCode:755.4
537,590.01,PheCode:590
538,396.3,PheCode:394
538,396.3,PheCode:394.1
539,730.83,PheCode:710
540,796.1,PheCode:350
540,796.1,PheCode:350.5
541,441.00,PheCode:442
541,441.00,PheCode:442.1
542,764.03,PheCode:637
543,304.22,PheCode:316
544,951.3,PheCode:907
545,V06.5,PheCode:1010
547,127.0,PheCode:134
547,127.0,PheCode:134.1
550,762.8,PheCode:658
551,805.04,PheCode:805
553,608.20,PheCode:603
554,146.5,PheCode:149
554,146.5,PheCode:149.1
555,642.01,PheCode:642
556,304.20,PheCode:316
558,647.82,PheCode:647
559,941.41,PheCode:1000
560,695.15,PheCode:695
560,695.15,PheCode:695.1
561,695.4,PheCode:695
561,695.4,PheCode:695.4
561,695.4,PheCode:695.41
562,010.90,PheCode:010
564,464.21,PheCode:465
564,464.21,PheCode:465.4
565,066.41,PheCode:079
566,466.19,PheCode:483
567,V75.7,PheCode:1010
568,103.1,PheCode:130
569,707.25,PheCode:707
569,707.25,PheCode:707.1
570,478.34,PheCode:473
570,478.34,PheCode:473.3
571,790.5,PheCode:573.9
572,804.44,PheCode:819
573,779.83,PheCode:656
